"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"joanB100","H",25,0.25,"PBIL","restart",-1678.01664,-1728.44564102564,61.2979487179487
"joanB100","H",25,0.25,"PBIL","ri",-1674.23288,-1727.08615384615,62.6574358974359
"joanB100","H",25,0.5,"PBIL","restart",-1677.96022,-1728.28461538462,61.4589743589744
"joanB100","H",25,0.5,"PBIL","ri",-1659.68722,-1723.76307692308,65.9805128205128
"joanB100","H",25,0.75,"PBIL","restart",-1677.8227,-1728.26512820513,61.4784615384615
"joanB100","H",25,0.75,"PBIL","ri",-1647.22114,-1722.32871794872,67.4148717948718
"joanB100","H",25,1,"PBIL","restart",-1677.77832,-1728.10358974359,61.64
"joanB100","H",25,1,"PBIL","ri",-1638.57854,-1721.80358974359,67.94
"joanB100","H",50,0.1,"PBIL","restart",-1683.28194,-1779.78842105263,57.0536842105263
"joanB100","H",50,0.1,"PBIL","ri",-1694.34664000005,-1790.47894736842,46.3631578947368
"joanB100","H",50,0.25,"PBIL","restart",-1682.95268,-1779.58315789474,57.2589473684211
"joanB100","H",50,0.25,"PBIL","ri",-1680.68636000004,-1780.19052631579,56.6515789473684
"joanB100","H",50,0.5,"PBIL","restart",-1683.11154,-1779.61789473684,57.2242105263158
"joanB100","H",50,0.5,"PBIL","ri",-1668.88746,-1774.44947368421,62.3926315789474
"joanB100","H",50,0.75,"PBIL","restart",-1683.30144,-1779.61684210526,57.2252631578947
"joanB100","H",50,0.75,"PBIL","ri",-1658.5961,-1772.67578947368,64.1663157894737
"joanB100","H",50,1,"PBIL","restart",-1683.01908,-1779.85789473684,56.9842105263158
"joanB100","H",50,1,"PBIL","ri",-1648.97176,-1772.14210526316,64.7
"joanB100","H",100,0.1,"PBIL","restart",-1689.25586,-1887.86222222222,51.0266666666667
"joanB100","H",100,0.1,"PBIL","ri",-1699.74372000016,-1898.48222222222,40.4066666666667
"joanB100","H",100,0.25,"PBIL","restart",-1688.90086,-1887.6,51.2888888888889
"joanB100","H",100,0.25,"PBIL","ri",-1686.92520408168,-1886.68480725624,52.2040816326531
"joanB100","H",100,0.5,"PBIL","restart",-1688.93916,-1887.67555555556,51.2133333333333
"joanB100","H",100,0.5,"PBIL","ri",-1676.00996000001,-1880.41777777778,58.4711111111111
"joanB100","H",100,0.75,"PBIL","restart",-1689.17774,-1888.02444444444,50.8644444444444
"joanB100","H",100,0.75,"PBIL","ri",-1667.46952,-1877.01111111111,61.8777777777778
"joanB100","H",100,1,"PBIL","restart",-1689.12856,-1887.83777777778,51.0511111111111
"joanB100","H",100,1,"PBIL","ri",-1660.49298,-1874.93333333333,63.9555555555556
"joanB100","H",200,0.1,"PBIL","restart",-1697.81434,-2141.215,40.035
"joanB100","H",200,0.1,"PBIL","ri",-1707.11894000017,-2146.015,35.235
"joanB100","H",200,0.25,"PBIL","restart",-1697.48474,-2140.775,40.475
"joanB100","H",200,0.25,"PBIL","ri",-1696.65684000007,-2135.04,46.21
"joanB100","H",200,0.5,"PBIL","restart",-1697.61526,-2141.22,40.03
"joanB100","H",200,0.5,"PBIL","ri",-1684.14334,-2125.15,56.1
"joanB100","H",200,0.75,"PBIL","restart",-1697.54372,-2140.46,40.79
"joanB100","H",200,0.75,"PBIL","ri",-1674.14058,-2120.425,60.825
"joanB100","H",200,1,"PBIL","restart",-1697.72192,-2141.025,40.225
"joanB100","H",200,1,"PBIL","ri",-1668.48202,-2119.825,61.425
