"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"joanC100","H",25,0.1,"PBIL","ri",-1698.86590000002,-1748.28974358974,49.6589743589744
"joanC100","H",25,0.25,"PBIL","restart",-1690.56302,-1741.30923076923,56.6394871794872
"joanC100","H",25,0.25,"PBIL","ri",-1685.92136000003,-1740.19846153846,57.7502564102564
"joanC100","H",25,0.5,"PBIL","restart",-1690.36388,-1741.13333333333,56.8153846153846
"joanC100","H",25,0.5,"PBIL","ri",-1671.68652,-1736.33743589744,61.6112820512821
"joanC100","H",25,0.75,"PBIL","restart",-1690.22802,-1740.90769230769,57.0410256410256
"joanC100","H",25,0.75,"PBIL","ri",-1659.66282,-1735.29538461538,62.6533333333333
"joanC100","H",25,1,"PBIL","restart",-1690.23528,-1741.0282051282,56.9205128205128
"joanC100","H",25,1,"PBIL","ri",-1650.0565,-1734.75794871795,63.1907692307692
"joanC100","H",50,0.1,"PBIL","restart",-1695.71592,-1792.54631578947,52.7168421052632
"joanC100","H",50,0.1,"PBIL","ri",-1705.95538000007,-1803.12,42.1431578947368
"joanC100","H",50,0.25,"PBIL","restart",-1695.42332,-1792.64421052632,52.6189473684211
"joanC100","H",50,0.25,"PBIL","ri",-1693.78888000003,-1793.00421052632,52.2589473684211
"joanC100","H",50,0.5,"PBIL","restart",-1695.58414,-1792.73789473684,52.5252631578947
"joanC100","H",50,0.5,"PBIL","ri",-1681.63088,-1788.01052631579,57.2526315789474
"joanC100","H",50,0.75,"PBIL","restart",-1695.45868,-1792.59368421053,52.6694736842105
"joanC100","H",50,0.75,"PBIL","ri",-1671.38694,-1786.05684210526,59.2063157894737
"joanC100","H",50,1,"PBIL","restart",-1695.12008,-1792.23263157895,53.0305263157895
"joanC100","H",50,1,"PBIL","ri",-1660.51,-1785.59052631579,59.6726315789474
"joanC100","H",100,0.1,"PBIL","restart",-1701.49116,-1901.33111111111,46.4466666666667
"joanC100","H",100,0.1,"PBIL","ri",-1711.7185600002,-1912.02,35.7577777777778
"joanC100","H",100,0.25,"PBIL","restart",-1701.22974,-1900.77777777778,47
"joanC100","H",100,0.25,"PBIL","ri",-1700.39644000008,-1901.85111111111,45.9266666666667
"joanC100","H",100,0.5,"PBIL","restart",-1701.28168,-1901.45555555556,46.3222222222222
"joanC100","H",100,0.5,"PBIL","ri",-1688.51212000001,-1894.84666666667,52.9311111111111
"joanC100","H",100,0.75,"PBIL","restart",-1701.21174,-1901.08222222222,46.6955555555556
"joanC100","H",100,0.75,"PBIL","ri",-1680.005,-1891.59777777778,56.18
"joanC100","H",100,1,"PBIL","restart",-1701.35752,-1900.96888888889,46.8088888888889
"joanC100","H",100,1,"PBIL","ri",-1673.2463,-1889.09777777778,58.68
"joanC100","H",200,0.1,"PBIL","restart",-1709.94486,-2155.965,35.285
"joanC100","H",200,0.1,"PBIL","ri",-1721.2033200001,-2162.065,29.185
"joanC100","H",200,0.25,"PBIL","restart",-1709.6598,-2155.55,35.7
"joanC100","H",200,0.25,"PBIL","ri",-1708.34442000013,-2150.375,40.875
"joanC100","H",200,0.5,"PBIL","restart",-1709.35284,-2154.815,36.435
"joanC100","H",200,0.5,"PBIL","ri",-1695.40468000003,-2139.765,51.485
"joanC100","H",200,0.75,"PBIL","restart",-1709.48078,-2155.16,36.09
"joanC100","H",200,0.75,"PBIL","ri",-1688.0706,-2137.14,54.11
"joanC100","H",200,1,"PBIL","restart",-1709.58324,-2154.97,36.28
"joanC100","H",200,1,"PBIL","ri",-1680.78398,-2136.04,55.21
