"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"kroA150","H",25,0.75,"PBIL","ri",222520.1522,224929.524615385,197725.422051282
"kroA150","H",25,1,"PBIL","restart",223115.9663,226038.995897436,198834.893333333
"kroA150","H",25,1,"PBIL","ri",222663.34368,225073.196923077,197869.094358974
"kroA150","H",50,0.1,"PBIL","restart",220735.9708,228523.998947368,200603.998947368
"kroA150","H",50,0.1,"PBIL","ri",192644.20094,197731.883157895,169811.883157895
"kroA150","H",50,0.25,"PBIL","restart",220822.5403,228697.498947368,200777.498947368
"kroA150","H",50,0.25,"PBIL","ri",207541.71178,212365.558947368,184445.558947368
"kroA150","H",50,0.5,"PBIL","restart",220837.85896,228670.247368421,200750.247368421
"kroA150","H",50,0.5,"PBIL","ri",217512.23386,224068.261052632,196148.261052632
"kroA150","H",50,0.75,"PBIL","restart",220802.6913,228670.294736842,200750.294736842
"kroA150","H",50,0.75,"PBIL","ri",219760.9075,227074.325263158,199154.325263158
"kroA150","H",50,1,"PBIL","restart",220909.90544,228908.58,200988.58
"kroA150","H",50,1,"PBIL","ri",220117.02056,227294.936842105,199374.936842105
"kroA150","H",100,0.1,"PBIL","restart",217254.53356,233958.931111111,204487.82
"kroA150","H",100,0.1,"PBIL","ri",186049.83006,199597.413333333,170126.302222222
"kroA150","H",100,0.25,"PBIL","restart",217554.67032,234315.657777778,204844.546666667
"kroA150","H",100,0.25,"PBIL","ri",196315.40242,208077.96,178606.848888889
"kroA150","H",100,0.5,"PBIL","restart",217718.84548,234521.144444444,205050.033333333
"kroA150","H",100,0.5,"PBIL","ri",208870.89136,221282.175555556,191811.064444444
"kroA150","H",100,0.75,"PBIL","restart",217632.6891,234315.977777778,204844.866666667
"kroA150","H",100,0.75,"PBIL","ri",215443.52234,230930.013333333,201458.902222222
"kroA150","H",100,1,"PBIL","restart",217683.10464,234598.988888889,205127.877777778
"kroA150","H",100,1,"PBIL","ri",216285.13452,232616.24,203145.128888889
"kroA150","H",200,0.1,"PBIL","restart",209846.54786,243109.6,209954.6
"kroA150","H",200,0.1,"PBIL","ri",181643.96958,215792.945,182637.945
"kroA150","H",200,0.25,"PBIL","restart",210249.837,243478.095,210323.095
"kroA150","H",200,0.25,"PBIL","ri",187910.43536,219492.615,186337.615
"kroA150","H",200,0.5,"PBIL","restart",210473.93738,243951.83,210796.83
"kroA150","H",200,0.5,"PBIL","ri",196771.88734,226071.925,192916.925
"kroA150","H",200,0.75,"PBIL","restart",210544.67392,244261.86,211106.86
"kroA150","H",200,0.75,"PBIL","ri",205635.49626,236308.365,203153.365
"kroA150","H",200,1,"PBIL","restart",210414.6814,243255.725,210100.725
"kroA150","H",200,1,"PBIL","ri",208956.56958,241616.65,208461.65
"kroA150","H",10,0.1,"ACO","restart",229879.4516,229658.493939394,202866.574747475
"kroA150","H",10,0.1,"ACO","ri",189964.23084,186200.101414141,159408.182222222
"kroA150","H",10,0.25,"ACO","restart",229832.77092,229617.258989899,202825.33979798
"kroA150","H",10,0.25,"ACO","ri",213178.95368,207137.717777778,180345.798585859
"kroA150","H",10,0.5,"ACO","restart",229849.76616,229577.48040404,202785.561212121
"kroA150","H",10,0.5,"ACO","ri",225063.05238,217463.567272727,190671.648080808
"kroA150","H",10,0.75,"ACO","restart",229922.63042,229715.825656566,202923.906464646
"kroA150","H",10,0.75,"ACO","ri",229317.7316,221124.254949495,194332.335757576
