"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"joanA100","H",25,0.25,"PBIL","restart",-1755.7487,-1808.04923076923,55.5405128205128
"joanA100","H",25,0.25,"PBIL","ri",-1752.19462,-1807.13384615385,56.4558974358974
"joanA100","H",25,0.5,"PBIL","restart",-1755.5011,-1807.96153846154,55.6282051282051
"joanA100","H",25,0.5,"PBIL","ri",-1736.72338000001,-1803.39435897436,60.1953846153846
"joanA100","H",25,0.75,"PBIL","restart",-1755.2804,-1807.62256410256,55.9671794871795
"joanA100","H",25,0.75,"PBIL","ri",-1724.4976,-1802.22820512821,61.3615384615385
"joanA100","H",25,1,"PBIL","restart",-1755.44738,-1807.86974358974,55.72
"joanA100","H",25,1,"PBIL","ri",-1712.31628,-1801.6158974359,61.9738461538462
"joanA100","H",50,0.1,"PBIL","restart",-1760.8267,-1861.13052631579,51.501052631579
"joanA100","H",50,0.1,"PBIL","ri",-1768.55962000016,-1870.20210526316,42.4294736842105
"joanA100","H",50,0.25,"PBIL","restart",-1760.47988,-1860.78842105263,51.8431578947369
"joanA100","H",50,0.25,"PBIL","ri",-1759.21626000003,-1861.70631578947,50.9252631578947
"joanA100","H",50,0.5,"PBIL","restart",-1760.40708,-1860.97052631579,51.6610526315789
"joanA100","H",50,0.5,"PBIL","ri",-1747.72222,-1856.48210526316,56.1494736842105
"joanA100","H",50,0.75,"PBIL","restart",-1760.43918,-1860.9547368421,51.6768421052632
"joanA100","H",50,0.75,"PBIL","ri",-1735.50144,-1854.58631578947,58.0452631578947
"joanA100","H",50,1,"PBIL","restart",-1760.46126,-1860.96105263158,51.6705263157895
"joanA100","H",50,1,"PBIL","ri",-1724.49952,-1854.49052631579,58.1410526315789
"joanA100","H",100,0.1,"PBIL","restart",-1766.37228,-1973.04,45.8488888888889
"joanA100","H",100,0.1,"PBIL","ri",-1777.12204000016,-1984.07333333333,34.8155555555556
"joanA100","H",100,0.25,"PBIL","restart",-1766.36126,-1973.25111111111,45.6377777777778
"joanA100","H",100,0.25,"PBIL","ri",-1765.91854000007,-1974.04444444445,44.8444444444444
"joanA100","H",100,0.5,"PBIL","restart",-1766.29688,-1973.28444444444,45.6044444444444
"joanA100","H",100,0.5,"PBIL","ri",-1754.42228000001,-1965.98666666667,52.9022222222222
